"";"geo";"unit";"time";"PKB";"GEO";"Region";"Kraj";"dl"
"160";"AT123";"MIO_EUR";2006;4775;"AT123 - Sankt Pölten";"Sankt Pölten";"AT";5
"161";"AT123";"MIO_EUR";2009;5285;"AT123 - Sankt Pölten";"Sankt Pölten";"AT";5
"162";"AT123";"MIO_EUR";2013;5947;"AT123 - Sankt Pölten";"Sankt Pölten";"AT";5
"163";"AT123";"MIO_EUR";2002;4007;"AT123 - Sankt Pölten";"Sankt Pölten";"AT";5
"164";"AT123";"MIO_EUR";2004;4272;"AT123 - Sankt Pölten";"Sankt Pölten";"AT";5
"165";"AT123";"MIO_EUR";2005;4478;"AT123 - Sankt Pölten";"Sankt Pölten";"AT";5
"166";"AT123";"MIO_EUR";2014;6033;"AT123 - Sankt Pölten";"Sankt Pölten";"AT";5
"167";"AT123";"MIO_EUR";2010;5449;"AT123 - Sankt Pölten";"Sankt Pölten";"AT";5
"168";"AT123";"MIO_EUR";2000;3739;"AT123 - Sankt Pölten";"Sankt Pölten";"AT";5
"169";"AT123";"MIO_EUR";2003;4177;"AT123 - Sankt Pölten";"Sankt Pölten";"AT";5
"170";"AT123";"MIO_EUR";2011;5649;"AT123 - Sankt Pölten";"Sankt Pölten";"AT";5
"171";"AT123";"MIO_EUR";2001;3898;"AT123 - Sankt Pölten";"Sankt Pölten";"AT";5
"172";"AT123";"MIO_EUR";2012;5817;"AT123 - Sankt Pölten";"Sankt Pölten";"AT";5
"173";"AT123";"MIO_EUR";2007;5103;"AT123 - Sankt Pölten";"Sankt Pölten";"AT";5
"174";"AT123";"MIO_EUR";2008;5282;"AT123 - Sankt Pölten";"Sankt Pölten";"AT";5
"175";"AT124";"MIO_EUR";2013;5697;"AT124 - Waldviertel";"Waldviertel";"AT";5
"176";"AT124";"MIO_EUR";2004;4503;"AT124 - Waldviertel";"Waldviertel";"AT";5
"177";"AT124";"MIO_EUR";2006;4674;"AT124 - Waldviertel";"Waldviertel";"AT";5
"178";"AT124";"MIO_EUR";2000;3940;"AT124 - Waldviertel";"Waldviertel";"AT";5
"179";"AT124";"MIO_EUR";2009;5015;"AT124 - Waldviertel";"Waldviertel";"AT";5
"180";"AT124";"MIO_EUR";2010;5213;"AT124 - Waldviertel";"Waldviertel";"AT";5
"181";"AT124";"MIO_EUR";2012;5567;"AT124 - Waldviertel";"Waldviertel";"AT";5
"182";"AT124";"MIO_EUR";2014;5842;"AT124 - Waldviertel";"Waldviertel";"AT";5
"183";"AT124";"MIO_EUR";2007;4941;"AT124 - Waldviertel";"Waldviertel";"AT";5
"184";"AT124";"MIO_EUR";2001;4068;"AT124 - Waldviertel";"Waldviertel";"AT";5
"185";"AT124";"MIO_EUR";2002;4176;"AT124 - Waldviertel";"Waldviertel";"AT";5
"186";"AT124";"MIO_EUR";2003;4274;"AT124 - Waldviertel";"Waldviertel";"AT";5
"187";"AT124";"MIO_EUR";2005;4540;"AT124 - Waldviertel";"Waldviertel";"AT";5
"188";"AT124";"MIO_EUR";2011;5467;"AT124 - Waldviertel";"Waldviertel";"AT";5
"189";"AT124";"MIO_EUR";2008;5189;"AT124 - Waldviertel";"Waldviertel";"AT";5
"190";"AT125";"MIO_EUR";2009;2219;"AT125 - Weinviertel";"Weinviertel";"AT";5
"191";"AT125";"MIO_EUR";2013;2461;"AT125 - Weinviertel";"Weinviertel";"AT";5
"192";"AT125";"MIO_EUR";2014;2495;"AT125 - Weinviertel";"Weinviertel";"AT";5
"193";"AT125";"MIO_EUR";2005;1908;"AT125 - Weinviertel";"Weinviertel";"AT";5
"194";"AT125";"MIO_EUR";2007;2179;"AT125 - Weinviertel";"Weinviertel";"AT";5
"195";"AT125";"MIO_EUR";2004;1919;"AT125 - Weinviertel";"Weinviertel";"AT";5
"196";"AT125";"MIO_EUR";2006;2006;"AT125 - Weinviertel";"Weinviertel";"AT";5
"197";"AT125";"MIO_EUR";2001;1761;"AT125 - Weinviertel";"Weinviertel";"AT";5
"198";"AT125";"MIO_EUR";2010;2232;"AT125 - Weinviertel";"Weinviertel";"AT";5
"199";"AT125";"MIO_EUR";2012;2338;"AT125 - Weinviertel";"Weinviertel";"AT";5
"200";"AT125";"MIO_EUR";2011;2413;"AT125 - Weinviertel";"Weinviertel";"AT";5
"201";"AT125";"MIO_EUR";2003;1836;"AT125 - Weinviertel";"Weinviertel";"AT";5
"202";"AT125";"MIO_EUR";2002;1776;"AT125 - Weinviertel";"Weinviertel";"AT";5
"203";"AT125";"MIO_EUR";2008;2256;"AT125 - Weinviertel";"Weinviertel";"AT";5
"204";"AT125";"MIO_EUR";2000;1728;"AT125 - Weinviertel";"Weinviertel";"AT";5
"205";"AT126";"MIO_EUR";2007;6957;"AT126 - Wiener Umland/Nordteil";"Wiener Umland/Nordteil";"AT";5
"206";"AT126";"MIO_EUR";2011;8160;"AT126 - Wiener Umland/Nordteil";"Wiener Umland/Nordteil";"AT";5
"207";"AT126";"MIO_EUR";2004;5848;"AT126 - Wiener Umland/Nordteil";"Wiener Umland/Nordteil";"AT";5
"208";"AT126";"MIO_EUR";2005;5994;"AT126 - Wiener Umland/Nordteil";"Wiener Umland/Nordteil";"AT";5
"209";"AT126";"MIO_EUR";2000;4855;"AT126 - Wiener Umland/Nordteil";"Wiener Umland/Nordteil";"AT";5
"210";"AT126";"MIO_EUR";2009;7355;"AT126 - Wiener Umland/Nordteil";"Wiener Umland/Nordteil";"AT";5
"211";"AT126";"MIO_EUR";2010;7564;"AT126 - Wiener Umland/Nordteil";"Wiener Umland/Nordteil";"AT";5
"212";"AT126";"MIO_EUR";2002;5196;"AT126 - Wiener Umland/Nordteil";"Wiener Umland/Nordteil";"AT";5
"213";"AT126";"MIO_EUR";2012;8380;"AT126 - Wiener Umland/Nordteil";"Wiener Umland/Nordteil";"AT";5
"214";"AT126";"MIO_EUR";2008;7605;"AT126 - Wiener Umland/Nordteil";"Wiener Umland/Nordteil";"AT";5
"215";"AT126";"MIO_EUR";2001;5068;"AT126 - Wiener Umland/Nordteil";"Wiener Umland/Nordteil";"AT";5
"216";"AT126";"MIO_EUR";2013;8616;"AT126 - Wiener Umland/Nordteil";"Wiener Umland/Nordteil";"AT";5
"217";"AT126";"MIO_EUR";2003;5348;"AT126 - Wiener Umland/Nordteil";"Wiener Umland/Nordteil";"AT";5
"218";"AT126";"MIO_EUR";2006;6482;"AT126 - Wiener Umland/Nordteil";"Wiener Umland/Nordteil";"AT";5
"219";"AT126";"MIO_EUR";2014;8686;"AT126 - Wiener Umland/Nordteil";"Wiener Umland/Nordteil";"AT";5
"220";"AT127";"MIO_EUR";2009;12749;"AT127 - Wiener Umland/Südteil";"Wiener Umland/Südteil";"AT";5
"221";"AT127";"MIO_EUR";2006;11903;"AT127 - Wiener Umland/Südteil";"Wiener Umland/Südteil";"AT";5
"222";"AT127";"MIO_EUR";2004;10885;"AT127 - Wiener Umland/Südteil";"Wiener Umland/Südteil";"AT";5
"223";"AT127";"MIO_EUR";2007;12780;"AT127 - Wiener Umland/Südteil";"Wiener Umland/Südteil";"AT";5
"224";"AT127";"MIO_EUR";2001;9596;"AT127 - Wiener Umland/Südteil";"Wiener Umland/Südteil";"AT";5
"225";"AT127";"MIO_EUR";2000;9858;"AT127 - Wiener Umland/Südteil";"Wiener Umland/Südteil";"AT";5
"226";"AT127";"MIO_EUR";2002;9907;"AT127 - Wiener Umland/Südteil";"Wiener Umland/Südteil";"AT";5
"227";"AT127";"MIO_EUR";2010;12984;"AT127 - Wiener Umland/Südteil";"Wiener Umland/Südteil";"AT";5
"228";"AT127";"MIO_EUR";2005;11230;"AT127 - Wiener Umland/Südteil";"Wiener Umland/Südteil";"AT";5
"229";"AT127";"MIO_EUR";2013;13749;"AT127 - Wiener Umland/Südteil";"Wiener Umland/Südteil";"AT";5
"230";"AT127";"MIO_EUR";2012;13751;"AT127 - Wiener Umland/Südteil";"Wiener Umland/Südteil";"AT";5
"231";"AT127";"MIO_EUR";2011;13383;"AT127 - Wiener Umland/Südteil";"Wiener Umland/Südteil";"AT";5
"232";"AT127";"MIO_EUR";2014;14294;"AT127 - Wiener Umland/Südteil";"Wiener Umland/Südteil";"AT";5
"233";"AT127";"MIO_EUR";2008;12999;"AT127 - Wiener Umland/Südteil";"Wiener Umland/Südteil";"AT";5
"234";"AT127";"MIO_EUR";2003;10040;"AT127 - Wiener Umland/Südteil";"Wiener Umland/Südteil";"AT";5
"235";"AT130";"MIO_EUR";2005;67051;"AT130 - Wien";"Wien";"AT";5
"236";"AT130";"MIO_EUR";2003;62285;"AT130 - Wien";"Wien";"AT";5
"237";"AT130";"MIO_EUR";2001;59780;"AT130 - Wien";"Wien";"AT";5
"238";"AT130";"MIO_EUR";2004;64207;"AT130 - Wien";"Wien";"AT";5
"239";"AT130";"MIO_EUR";2013;82848;"AT130 - Wien";"Wien";"AT";5
